,tma
6446,0.011259558538765979
8502,0.06630105449796035
8287,0.04301080541636504
1310,0.12398899742284494
2726,0.13447960458967118
6859,0.005833832501531267
4843,0.04158816283468076
8782,0.061492749458365366
1751,0.08053627944076483
5106,0.048891904959792336
6845,0.0255169468468007
3907,0.1347083682743802
1827,0.08366611027607962
9436,0.0581516660188465
7870,0.07512574053957301
7989,0.0009838264237053908
6175,0.06401896583075488
8759,0.014900695110063696
1420,0.12679959309946576
3649,0.11003085317621306
5863,0.05580864418783207
6099,0.05370254061513182
4015,0.08202096350557411
5799,0.013731269836023768
6003,0.010568857611375193
5221,0.030125573673555638
2645,0.12744157243452212
791,0.14998747335902374
2233,0.08754957289435925
6306,0.06447763028735966
5330,0.021484725611650653
2316,0.08793419996168662
1381,0.15204639127919714
7469,0.07686122369809592
3211,0.08151050446040853
8985,0.0052966429486509155
3689,0.1108781916611808
8465,0.00596612658122426
5335,0.02812656338272102
1657,0.08261025869368158
7232,0.0785147437919566
5846,0.039970136430063384
8244,0.03721759343307633
9207,0.053050803447209915
2896,0.1397576265416573
4190,0.08970650261182372
7749,2.4143777617347242e-05
6946,0.004440890235864685
470,0.16061474899677575
2120,0.18839579293264608
2379,0.08143755766221307
1577,0.08294655802613746
2827,0.13803088176658435
1248,0.12625913775079525
3271,0.08411514846436745
1638,0.0834067865873445
4428,0.1357380113662348
250,0.15155993812658175
8222,0.04527148416846785
5708,0.043405584134118935
3011,0.15637236736447058
4841,0.0670305671425104
4286,0.2403381661404323
5023,0.055046550340489435
5029,0.05441413382217922
3077,0.14708940122068262
1954,0.10857573735918677
1394,0.1350526556431423
1869,0.08273149522026504
2164,0.17600333020817593
9319,0.06206454295983355
1477,0.11039399168440103
727,0.12999063428649565
2608,0.12786602686663714
9021,1.544903280743603e-05
376,0.15756449801925052
7675,0.07334269586813659
8619,0.006008381589607764
2179,0.09220793886575593
5154,0.07147192806574905
2938,0.15798268388489045
6098,0.04286302876763098
5431,0.0765708175031986
5473,0.05829308122678323
7640,0.07550802717772198
1793,0.08337524815636965
2089,0.12467486631303992
4245,0.24785486401541146
7189,0.0761958232815431
134,0.16024788898974496
3864,0.1026041771332446
